normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
ieee computer vision,[CORE:norm_title] IEEE International Conference on Computer Vision | [SJR:norm_title] Proceedings of the IEEE International Conference on Computer Vision,CORE A* | SJR -,norm_title,4,Proceedings of the IEEE International Conference on Computer Vision (x3) | 2009 IEEE 12th international conference on computer vision (x1),[CORE A*] IEEE International Conference on Computer Vision,HIGH,Y
machine learning research,[SJR:norm_title] Journal of Machine Learning Research | [SJR:norm_title] Proceedings of Machine Learning Research | [SJR:norm_title] Transactions on Machine Learning Research,SJR Q1 | SJR - | SJR Q2,norm_title,4,Proceedings of Machine Learning Research (x4),[SJR Q2] Transactions on Machine Learning Research,HIGH,Y
medical physics,[SJR:norm_title] Medical Physics | [SJR:norm_title] Journal of Medical Physics,SJR Q1 | SJR Q3,norm_title,4,Medical Physics (x3) | Medical physics (x1),[SJR Q3] Journal of Medical Physics,HIGH,Y
neuroscience,[SJR:norm_title] Journal of Neuroscience | [SJR:norm_title] Neuroscience | [SJR:norm_title] International Journal of Neuroscience,SJR Q1 | SJR Q2 | SJR Q3,norm_title,4,Neuroscience (x4),[SJR Q3] International Journal of Neuroscience,HIGH,Y
obesity,[SJR:norm_title] Obesity | [SJR:norm_title] International Journal of Obesity | [SJR:norm_title] Journal of Obesity,SJR Q1 | SJR Q1 | SJR Q1,norm_title,4,International Journal of Obesity (x2) | International journal of obesity (2005) (x2),[SJR Q1] Journal of Obesity,HIGH,
pattern recognition,[CORE:norm_title] International Conference on Pattern Recognition | [SJR:norm_title] Pattern Recognition,CORE B | SJR Q1,norm_title,4,2018 24th international conference on pattern recognition (ICPR) (x2) | 2002 international conference on pattern recognition (x1) | Pattern Recognition (x1),[CORE B] International Conference on Pattern Recognition,HIGH,Y
control automation systems,"[SJR:norm_title] International Journal of Control, Automation and Systems | [SJR:norm_title] International Conference on Control, Automation and Systems",SJR Q2 | SJR -,norm_title,3,"2024 24th international conference on control, automation and systems (ICCAS) (x1) | 2013 13th international conference on control, automation and systems (ICCAS 2013) (x1) | International Conference on Control, Automation and Systems (x1)","[SJR -] International Conference on Control, Automation and Systems",HIGH,
experimental psychology,[SJR:norm_title] Experimental Psychology | [SJR:norm_title] Experimental Psychology (Russia),SJR Q1 | SJR Q3,norm_title,3,Experimental Psychology (Russia) (x2) | Experimental Psychology (x1),[SJR Q3] Experimental Psychology (Russia),HIGH,Y
frontiers computer science,[SJR:norm_title] Frontiers of Computer Science | [SJR:norm_title] Frontiers in Computer Science,SJR Q1 | SJR Q2,norm_title,3,Frontiers in Computer Science (x3),[SJR Q2] Frontiers in Computer Science,HIGH,Y
ieee computer society computer vision pattern recognition,[SJR:norm_title] Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition | [SJR:norm_title] IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,SJR - | SJR -,norm_title,3,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition (x2) | Proceedings of IEEE computer society conference on computer vision and pattern recognition (x1),[SJR -] IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,HIGH,
ieee wireless communications,[SJR:norm_title] IEEE Wireless Communications | [SJR:norm_title] IEEE Transactions on Wireless Communications,SJR Q1 | SJR Q1,norm_title,3,IEEE Transactions on Wireless Communications (x2) | IEEE Wireless Communications (x1),[SJR Q1] IEEE Transactions on Wireless Communications,HIGH,
information technology,[SJR:norm_title] Journal of Information Technology | [SJR:norm_title] International Journal of Information Technology (Singapore),SJR Q1 | SJR Q1,norm_title,3,2008 1st international conference on information technology (x1) | 2024 28th international conference on information technology (IT) (x1) | 2010 international symposium on information technology (x1),[SJR Q1] International Journal of Information Technology (Singapore),HIGH,
urology,[SJR:norm_title] Journal of Urology | [SJR:norm_title] International Journal of Urology | [SJR:norm_title] Urology,SJR Q1 | SJR Q2 | SJR Q2,norm_title,3,Urology (x3),[SJR Q2] Urology,HIGH,Y
advanced manufacturing technology,[SJR:norm_title] International Journal of Advanced Manufacturing Technology | [SJR:norm_title] Journal of Advanced Manufacturing Technology,SJR Q1 | SJR Q4,norm_title,2,Journal of Advanced Manufacturing Technology (x1) | International Journal of Advanced Manufacturing Technology (x1),[SJR Q4] Journal of Advanced Manufacturing Technology,HIGH,Y
alzheimer s disease,[SJR:norm_title] International Journal of Alzheimer's Disease | [SJR:norm_title] Journal of Alzheimer's Disease,SJR Q1 | SJR Q1,norm_title,2,Journal of Alzheimer's Disease (x2),[SJR Q1] Journal of Alzheimer's Disease,HIGH,
artificial organs,[SJR:norm_title] Artificial Organs | [SJR:norm_title] Journal of Artificial Organs | [SJR:norm_title] International Journal of Artificial Organs,SJR Q2 | SJR Q3 | SJR Q3,norm_title,2,Artificial Organs (x1) | International Journal of Artificial Organs (x1),[SJR Q3] International Journal of Artificial Organs,HIGH,
chemical physics,[SJR:norm_title] Journal of Chemical Physics | [SJR:norm_title] Chemical Physics,SJR Q1 | SJR Q2,norm_title,2,Journal of Chemical Physics (x1) | The Journal of chemical physics (x1),[SJR Q2] Chemical Physics,HIGH,Y
clinical neurophysiology,[SJR:norm_title] Clinical Neurophysiology | [SJR:norm_title] Journal of Clinical Neurophysiology,SJR Q1 | SJR Q3,norm_title,2,Clinical Neurophysiology (x2),[SJR Q3] Journal of Clinical Neurophysiology,HIGH,Y
cognitive neuroscience,[SJR:norm_title] Journal of Cognitive Neuroscience | [SJR:norm_title] Cognitive Neuroscience,SJR Q1 | SJR Q4,norm_title,2,Journal of Cognitive Neuroscience (x2),[SJR Q4] Cognitive Neuroscience,HIGH,Y
environmental research,[SJR:norm_title] Environmental Research | [SJR:norm_title] International Journal of Environmental Research,SJR Q1 | SJR Q2,norm_title,2,Environmental research (x2),[SJR Q2] International Journal of Environmental Research,HIGH,Y
heart,[SJR:norm_title] Heart | [SJR:norm_title] Heart International,SJR Q1 | SJR Q2,norm_title,2,Heart (x1) | Heart International (x1),[SJR Q2] Heart International,HIGH,Y
ieee industrial electronics,[SJR:norm_title] IEEE Transactions on Industrial Electronics | [SJR:norm_title] IEEE International Symposium on Industrial Electronics,SJR Q1 | SJR -,norm_title,2,IEEE Transactions on Industrial Electronics (x2),[SJR -] IEEE International Symposium on Industrial Electronics,HIGH,Y
ieee industrial informatics,[CORE:norm_title] IEEE International Conference on Industrial Informatics | [SJR:norm_title] IEEE Transactions on Industrial Informatics | [SJR:norm_title] IEEE International Conference on Industrial Informatics (INDIN),CORE C | SJR Q1 | SJR -,norm_title,2,IEEE Transactions on Industrial Informatics (x2),[CORE C] IEEE International Conference on Industrial Informatics,HIGH,Y
ieee security privacy,[CORE:norm_title] IEEE Symposium on Security and Privacy | [SJR:norm_title] IEEE Security and Privacy,CORE A* | SJR Q1,norm_title,2,2023 IEEE symposium on security and privacy (SP) (x1) | 2025 IEEE symposium on security and privacy (SP) (x1),[CORE A*] IEEE Symposium on Security and Privacy,HIGH,
interactions,[SJR:norm_title] International Interactions | [SJR:norm_title] Interactions | [SJR:norm_title] Interactions (N.Y.),SJR Q1 | SJR Q2 | SJR Q4,norm_title,2,Interactions (x2),[SJR Q4] Interactions (N.Y.),HIGH,Y
nephrology,[SJR:norm_title] Journal of Nephrology | [SJR:norm_title] Nephrology | [SJR:norm_title] International Journal of Nephrology | [SJR:norm_title] Nephrology (Saint-Petersburg),SJR Q2 | SJR Q2 | SJR Q3 | SJR Q4,norm_title,2,Journal of Nephrology (x1) | Journal of nephrology (x1),[SJR Q4] Nephrology (Saint-Petersburg),HIGH,
neural networks,[CORE:norm_title] International Symposium on Neural Networks | [SJR:norm_title] Neural Networks,CORE C | SJR Q1,norm_title,2,Neural Networks (x2),[CORE C] International Symposium on Neural Networks,HIGH,Y
