raw_venue,matched_entry,source,rank,match_stage,similarity,record_count,decision,priority,orig_string_sim,alt_candidate
"Proceedings of the 36th International Symposium on Automation and Robotics in Construction, ISARC 2019",International Symposium on Automation and Robotics in Construction,CORE,C,fuzzy,0.914,1,EXCLUDED,P3,0.786,
IEEE International Conference on Electro Information Technology,IEEE International Conference on Computer and Information Technology,CORE,C,fuzzy,0.845,1,EXCLUDED,P3,0.885,
"Proceedings of the ACM Symposium on Applied Perception, SAP 2016",ACM Symposium on Applied Perception,CORE,B,fuzzy,0.917,1,EXCLUDED,P3,0.707,
"International Conference on Artificial Reality and Telexistence and Eurographics Symposium on Virtual Environments, ICAT-EGVE 2017",International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,CORE,C,fuzzy,0.914,1,EXCLUDED,P3,0.909,
International Geoscience and Remote Sensing Symposium (IGARSS),IEEE International Geoscience and Remote Sensing Symposium,CORE,C,acronym,1.000,1,EXCLUDED,P3,0.883,
Proceedings - International Conference on Advanced Information Networking and Application (AINA),International Conference on Advanced Information Networking and Applications (was ICOIN),CORE,B,acronym,1.000,1,EXCLUDED,P3,0.880,
Proceedings of the 2nd ACM International Workshop on Immersive Media Experiences,ACM International Conference on Interactive Media Experiences,CORE,C,fuzzy,0.875,1,EXCLUDED,P3,0.681,
Proceedings of the 1st ACM conference on Electronic commerce,International Conference on Electronic Commerce,CORE,C,fuzzy,0.905,1,EXCLUDED,P3,0.710,
Proceedings of the 2003 conference on Asia South Pacific design automation - ASPDAC,Asia and South Pacific Design Automation Conference,CORE,B,fuzzy,0.844,1,EXCLUDED,P3,0.567,
Proceedings of the 29th Australian Conference on Computer-Human Interaction,International Conference on Advances in Computer-Human Interactions,CORE,C,fuzzy,0.822,1,EXCLUDED,P3,0.648,
25th ACM Symposium on Virtual Reality Software and Technology on - VRST '19,ACM Virtual Reality Software and Technology,CORE,B,fuzzy,0.907,1,EXCLUDED,P3,0.729,
Proceedings of the International Conference on Video and Image Processing,IEEE International Conference on Image Processing,CORE,B,fuzzy,0.884,1,EXCLUDED,P3,0.787,
"Proceedings of the 2009 conference on Information Science, Technology and Applications","International Conference on Data Science, Technology and Applications",CORE,C,fuzzy,0.861,1,EXCLUDED,P3,0.735,
Proceedings of the 2019 4th International Conference on Mathematics and Artificial Intelligence,International Conference on Agents and Artificial Intelligence,CORE,B,fuzzy,0.831,1,EXCLUDED,P3,0.752,
Proceedings of the 14th ACM Conference on Embedded Network Sensor Systems CD-ROM,ACM Conference on Embedded Networked Sensor Systems,CORE,unranked: merged,fuzzy,0.886,1,EXCLUDED,P3,0.748,
Proceedings of High Performance Graphics,Symposium on High Performance Chips,CORE,C,fuzzy,0.851,1,EXCLUDED,P3,0.693,
Proceedings of the 27th ACM Conference on on Innovation and Technology in Computer Science Education Vol. 1,Annual Conference on Innovation and Technology in Computer Science Education,CORE,B,fuzzy,0.906,1,EXCLUDED,P3,0.787,
Proceedings of the ACM/IEEE 8th International Workshop on Games and Software Engineering,IEEE International Conference on Global Software Engineering,CORE,C,fuzzy,0.836,1,EXCLUDED,P3,0.649,
Proceedings of the 2023 ACM International Conference on Multimedia Retrieval,International Conference on Multimedia Retrieval (previously MIR),CORE,B,fuzzy,0.909,1,EXCLUDED,P3,0.681,
Adjunct Publication of the 24th International Conference on Human-Computer Interaction with Mobile Devices and Services,International Conference on Human-Computer Interaction with Mobile Devices and Services,CORE,B,fuzzy,0.902,1,EXCLUDED,P3,0.845,
Proceedings of the 2018 ACM on International Conference on Multimedia Retrieval,International Conference on Multimedia Retrieval (previously MIR),CORE,B,fuzzy,0.909,1,EXCLUDED,P3,0.667,
2026 IEEE engineering education world conference (EDUNINE),IEEE Global Engineering Education Conference,CORE,C,fuzzy,0.851,1,EXCLUDED,P3,0.725,
